,carat,cut,color,clarity,depth,table,x,y,z,price
26945,2.01,Very Good,F,SI2,62.0,54.0,8.03,8.12,5.01,17005
47846,0.53,Ideal,F,VS1,62.0,55.0,5.2,5.15,3.21,1908
38693,0.37,Premium,E,VS2,61.1,57.0,4.66,4.63,2.84,1041
5543,1.01,Fair,G,SI2,64.7,58.0,6.14,6.23,4.0,3856
10723,0.31,Premium,D,SI2,62.1,59.0,4.35,4.31,2.69,593
51020,1.14,Good,G,I1,63.7,56.0,6.63,6.55,4.2,2327
41618,0.29,Very Good,E,VS1,61.7,58.0,4.23,4.29,2.63,504
11342,1.01,Good,F,SI1,58.8,64.0,6.58,6.51,3.85,4989
11320,1.12,Premium,I,VS2,62.8,57.0,6.68,6.61,4.17,4986
27965,0.3,Ideal,E,VS2,62.6,54.0,4.28,4.31,2.69,658
8174,0.85,Ideal,E,SI1,61.6,57.0,6.07,6.1,3.75,4363
27255,2.02,Very Good,H,SI1,63.4,60.0,7.96,8.04,5.07,17672
4127,1.0,Good,G,SI2,58.1,65.0,6.48,6.46,3.76,3541
41952,0.23,Very Good,F,VVS2,62.9,57.0,3.9,3.95,2.47,505
16894,1.1,Ideal,E,SI1,61.3,56.0,6.65,6.7,4.09,6743
41312,0.41,Ideal,F,VVS1,61.8,54.0,4.78,4.83,2.97,1213
50924,0.7,Premium,F,SI1,61.9,58.0,5.69,5.65,3.51,2319
9922,1.25,Premium,J,SI2,61.5,57.0,7.0,6.93,4.28,4690
13020,0.3,Very Good,E,VS2,61.6,54.0,4.29,4.32,2.65,600
35642,0.31,Ideal,G,VVS2,62.4,56.0,4.36,4.33,2.71,907
44874,0.52,Ideal,F,VS2,62.5,56.0,5.12,5.16,3.21,1629
47658,0.23,Very Good,E,VVS2,60.9,60.0,3.96,3.99,2.42,530
53326,0.72,Ideal,I,VVS1,61.3,57.0,5.75,5.77,3.53,2654
39821,0.38,Ideal,E,VVS2,62.4,56.0,4.69,4.63,2.91,1097
302,0.82,Ideal,F,SI2,62.4,54.0,5.97,6.02,3.74,2799
40743,0.53,Ideal,I,VS2,62.2,56.0,5.15,5.2,3.22,1163
16916,1.14,Ideal,H,VS2,62.6,53.0,6.67,6.72,4.19,6753
38933,0.4,Ideal,E,VS1,62.2,55.0,4.72,4.76,2.95,1053
9379,0.32,Ideal,I,VVS1,61.7,55.0,4.39,4.4,2.71,589
53863,1.0,Fair,I,SI2,66.8,56.0,6.22,6.12,4.13,2743
14334,0.92,Ideal,F,VS2,61.2,56.0,6.25,6.3,3.84,5805
4134,1.06,Ideal,F,I1,61.8,55.0,6.55,6.58,4.06,3544
29582,0.41,Good,E,SI1,63.1,57.0,4.73,4.78,3.0,705
23280,1.43,Ideal,G,VS1,59.9,57.0,7.35,7.3,4.39,11302
11700,0.34,Premium,E,SI1,60.7,60.0,4.48,4.51,2.73,596
30478,0.31,Very Good,I,VVS1,63.1,59.0,4.31,4.25,2.7,732
25021,0.3,Ideal,E,SI1,61.7,57.0,4.29,4.33,2.66,640
6178,0.9,Good,F,SI1,63.9,58.0,6.08,6.03,3.87,3992
210,0.7,Very Good,F,VS2,63.6,57.0,5.61,5.65,3.58,2780
18544,1.5,Fair,E,SI2,69.6,62.0,6.88,6.79,4.76,7560
48165,0.51,Good,F,VVS2,60.2,62.0,5.16,5.21,3.12,1942
52204,0.71,Ideal,D,SI2,62.4,55.0,5.71,5.74,3.57,2480
2421,0.91,Very Good,J,SI2,62.0,56.0,6.18,6.23,3.85,3181
17685,1.23,Ideal,H,VS2,62.2,55.0,6.81,6.85,4.25,7130
37147,0.32,Ideal,E,VS1,61.7,57.0,4.42,4.39,2.72,972
4789,1.0,Premium,G,SI2,59.1,59.0,6.54,6.5,3.85,3696
5067,0.3,Premium,G,SI1,61.4,57.0,4.35,4.31,2.66,574
26465,2.0,Premium,H,SI2,62.8,56.0,8.04,7.98,5.03,16031
31047,0.41,Ideal,H,VS1,61.8,56.0,4.73,4.78,2.94,750
8824,1.03,Very Good,D,SI2,61.8,60.0,6.42,6.45,3.98,4478
16070,1.02,Premium,G,VS2,61.5,59.0,6.44,6.41,3.95,6416
31210,0.32,Ideal,D,SI1,61.3,55.0,4.42,4.39,2.7,756
19753,1.06,Premium,G,VVS1,61.1,58.0,6.57,6.53,4.0,8319
26445,2.02,Premium,H,VS2,61.3,60.0,8.16,8.11,4.99,15987
49257,0.71,Good,I,SI1,60.9,64.0,5.72,5.67,3.47,2087
8623,1.07,Premium,F,SI2,61.7,58.0,6.58,6.55,4.05,4446
42232,0.53,Very Good,F,SI1,60.9,56.0,5.21,5.23,3.18,1291
42129,0.58,Ideal,F,SI2,61.8,56.0,5.42,5.39,3.34,1279
47050,0.53,Very Good,F,VS1,61.5,59.0,5.19,5.22,3.2,1821
23445,1.51,Ideal,H,VS2,62.2,57.0,7.29,7.33,4.55,11435
39229,0.32,Ideal,D,VVS1,61.3,57.0,4.39,4.42,2.7,1067
8153,1.06,Good,F,SI2,62.2,61.0,6.47,6.53,4.04,4357
27135,2.54,Ideal,G,SI2,62.7,56.0,8.75,8.67,5.46,17339
40155,0.35,Ideal,G,IF,61.4,55.0,4.59,4.56,2.81,1116
48191,0.53,Ideal,G,VVS2,61.0,56.0,5.21,5.25,3.19,1946
5458,0.76,Very Good,E,VVS2,60.6,59.0,5.85,5.94,3.57,3833
46368,0.54,Premium,G,VS1,61.1,60.0,5.28,5.23,3.21,1760
24717,0.3,Very Good,E,VS1,63.8,59.0,4.21,4.22,2.69,640
36010,0.39,Very Good,F,SI1,63.3,54.0,4.67,4.62,2.94,921
51543,0.83,Fair,G,SI2,64.4,57.0,5.93,5.86,3.8,2386
44414,0.54,Ideal,I,SI1,62.3,55.0,5.22,5.27,3.27,1586
50559,0.72,Premium,H,SI1,62.7,59.0,5.69,5.73,3.58,2277
52243,0.8,Very Good,J,VS1,62.7,58.0,5.91,5.95,3.72,2487
12739,1.13,Premium,I,VS1,61.7,54.0,6.74,6.71,4.15,5316
28563,0.3,Premium,H,VS1,62.5,58.0,4.34,4.27,2.69,675
33245,0.34,Very Good,F,VVS2,61.0,56.0,4.51,4.53,2.76,825
11095,1.1,Premium,F,SI2,62.0,59.0,6.62,6.6,4.1,4928
10570,1.11,Good,I,VS1,59.2,64.0,6.8,6.77,4.02,4817
7887,1.0,Very Good,E,SI2,60.7,59.0,6.38,6.44,3.89,4311
36179,0.45,Ideal,F,SI1,60.8,56.0,4.97,4.93,3.01,930
15501,1.0,Premium,G,VS2,62.9,56.0,6.42,6.34,4.01,6209
22238,1.5,Premium,H,VS2,60.8,59.0,7.34,7.36,4.47,10291
22703,0.3,Ideal,G,VS2,60.8,57.0,4.38,4.33,2.65,630
39499,0.5,Ideal,F,SI2,61.6,54.0,5.09,5.14,3.15,1079
10858,1.03,Premium,H,VS1,59.2,58.0,6.66,6.61,3.92,4874
18119,1.21,Premium,E,SI1,62.6,58.0,6.82,6.79,4.26,7334
9035,0.36,Ideal,H,VS2,61.4,57.0,4.59,4.63,2.83,587
18521,1.6,Premium,J,SI1,62.2,58.0,7.48,7.54,4.67,7550
43665,0.5,Ideal,F,VS2,62.7,57.0,5.08,5.1,3.19,1436
44545,0.57,Very Good,H,VS2,61.7,54.8,5.34,5.37,3.3,1605
28328,0.33,Ideal,G,VS1,62.1,54.0,4.45,4.47,2.77,666
25690,0.38,Very Good,F,SI2,60.1,60.0,4.7,4.75,2.84,644
12723,1.02,Premium,H,VS2,62.5,56.0,6.45,6.42,4.02,5312
51713,0.72,Very Good,E,SI2,62.2,59.0,5.72,5.79,3.58,2401
16924,1.51,Premium,I,SI1,62.2,61.0,7.35,7.27,4.55,6756
42154,0.45,Premium,E,VS1,60.8,60.0,4.94,4.9,2.99,1282
37212,0.34,Ideal,G,IF,62.2,53.0,4.49,4.52,2.8,974
12329,1.1,Very Good,D,SI2,61.6,57.0,6.61,6.67,4.09,5226
10832,0.9,Ideal,G,SI1,61.9,57.0,6.16,6.19,3.82,4871
9786,1.01,Very Good,E,SI2,59.5,59.0,6.54,6.58,3.9,4666
52738,0.73,Ideal,E,SI2,60.9,57.0,5.8,5.83,3.54,2559
17217,1.08,Ideal,F,SI1,61.8,55.0,6.58,6.63,4.08,6884
9112,0.9,Ideal,F,VS2,60.5,54.0,6.22,6.17,3.75,4531
29698,0.31,Premium,H,VVS1,62.1,58.0,4.33,4.36,2.7,707
18032,0.35,Premium,E,SI1,61.1,59.0,4.5,4.56,2.77,614
41007,0.41,Very Good,E,VVS1,61.2,62.0,4.76,4.78,2.92,1184
30703,0.42,Very Good,G,SI1,62.2,58.0,4.73,4.75,2.95,737
53186,0.59,Very Good,F,IF,59.9,63.0,5.44,5.47,3.27,2632
36169,0.32,Ideal,F,IF,61.7,55.0,4.4,4.42,2.72,929
27955,0.27,Ideal,I,VS1,61.9,54.0,4.15,4.18,2.58,432
19363,0.27,Ideal,E,VVS2,62.1,57.0,4.13,4.15,2.57,622
36143,0.33,Ideal,E,VS2,62.1,56.0,4.46,4.43,2.76,928
46238,0.53,Ideal,F,VS2,61.1,56.0,5.26,5.22,3.2,1753
35094,0.3,Ideal,F,IF,62.3,57.0,4.29,4.31,2.68,886
40052,0.38,Premium,E,VS2,59.2,60.0,4.77,4.73,2.81,1112
37263,0.32,Premium,J,SI1,63.0,58.0,4.35,4.32,2.73,480
31476,0.34,Premium,H,VS1,62.2,58.0,4.48,4.43,2.77,765
18054,0.3,Ideal,I,IF,62.5,56.0,4.26,4.28,2.67,615
53005,0.7,Premium,D,SI2,60.0,60.0,5.72,5.56,3.5,2596
4578,0.73,Ideal,E,VS2,61.7,57.0,5.77,5.8,3.57,3649
12810,1.06,Ideal,G,SI1,62.0,57.0,6.54,6.5,4.04,5342
290,0.71,Premium,D,SI1,61.6,60.0,5.74,5.69,3.52,2797
21640,1.51,Very Good,E,SI2,61.8,57.0,7.34,7.32,4.53,9731
22107,1.5,Good,F,VS2,64.0,56.0,7.18,7.13,4.64,10134
42673,0.89,Fair,H,I1,58.8,66.0,6.21,6.09,3.62,1334
31445,0.4,Good,J,VS2,64.0,57.0,4.7,4.67,3.0,765
53933,0.7,Very Good,E,VS2,61.2,59.0,5.69,5.72,3.49,2757
51240,0.74,Very Good,I,VS1,63.4,57.0,5.81,5.76,3.67,2353
6022,1.18,Premium,E,I1,62.5,58.0,6.75,6.62,4.18,3965
7095,1.01,Very Good,H,SI2,58.8,58.0,6.57,6.62,3.88,4166
12657,1.04,Premium,F,SI1,62.2,60.0,6.48,6.44,4.02,5300
35775,0.42,Very Good,D,VS1,58.4,61.0,4.91,4.95,2.88,912
19828,1.51,Ideal,I,SI1,59.4,61.0,7.52,7.46,4.45,8396
28327,0.33,Ideal,F,VS2,61.4,57.0,4.45,4.48,2.74,666
29539,0.27,Ideal,E,VS1,61.4,57.0,4.17,4.23,2.58,704
37870,0.39,Ideal,E,VS1,62.2,53.3,4.68,4.7,2.92,1004
19419,1.51,Very Good,I,SI1,61.4,60.0,7.37,7.33,4.51,8073
39717,0.5,Good,E,SI1,64.2,59.0,5.03,4.97,3.21,1090
39406,0.41,Ideal,G,VVS2,62.9,56.0,4.74,4.7,2.97,1076
26594,1.74,Ideal,G,VS2,62.9,57.0,7.68,7.64,4.82,16316
24637,1.71,Ideal,E,SI2,62.7,55.0,7.62,7.69,4.8,12978
37183,0.46,Fair,I,VS1,65.6,57.0,4.85,4.82,3.17,972
13393,0.32,Very Good,F,VS2,59.7,62.0,4.38,4.43,2.63,602
11213,1.11,Premium,H,SI1,61.9,58.0,6.63,6.59,4.09,4960
35443,0.32,Ideal,E,VS2,62.0,57.0,4.41,4.37,2.72,900
30648,0.4,Ideal,I,VS1,61.2,56.0,4.76,4.82,2.93,736
29020,0.31,Ideal,G,VVS2,62.2,54.0,4.35,4.39,2.72,687
17440,1.24,Ideal,G,SI1,60.5,60.0,6.97,6.91,4.2,6994
53626,0.35,Very Good,I,VS1,60.7,62.0,4.53,4.59,2.77,552
28972,0.25,Good,F,VS1,63.6,57.0,4.01,4.04,2.56,435
3291,0.75,Very Good,E,VS2,62.3,56.0,5.79,5.84,3.62,3365
3156,0.9,Very Good,I,VS2,58.4,62.0,6.29,6.35,3.69,3334
46910,0.56,Fair,F,VS2,57.0,67.0,5.49,5.36,3.09,1814
38027,0.4,Ideal,D,VVS2,62.5,55.0,4.73,4.77,2.97,1010
6221,1.01,Good,F,SI2,63.1,58.0,6.34,6.38,4.01,4004
49798,0.73,Ideal,F,SI2,59.6,56.0,5.89,5.85,3.5,2164
15358,1.05,Ideal,H,VS2,62.6,56.0,6.45,6.5,4.05,6165
39136,0.41,Ideal,G,VS2,62.1,57.0,4.78,4.72,2.95,1061
9926,1.01,Good,E,SI1,63.3,57.0,6.33,6.37,4.02,4692
31907,0.3,Premium,G,VS1,61.9,59.0,4.32,4.28,2.66,776
9461,0.9,Very Good,G,VS2,62.5,57.0,6.12,6.14,3.83,4600
7777,1.02,Premium,I,SI1,62.7,55.0,6.48,6.41,4.04,4284
11540,1.54,Premium,J,SI1,61.1,58.0,7.48,7.41,4.55,5028
39898,0.42,Ideal,D,VS2,61.8,56.0,4.84,4.8,2.98,1103
11713,0.34,Ideal,G,VS2,61.8,56.0,4.48,4.52,2.78,596
11296,0.91,Premium,F,VS2,62.2,58.0,6.17,6.21,3.85,4979
4391,0.31,Very Good,I,VVS1,62.8,55.0,4.33,4.36,2.73,571
52077,0.75,Ideal,G,SI1,62.2,57.0,5.8,5.84,3.62,2456
47875,0.52,Very Good,G,VVS2,61.8,59.0,5.13,5.16,3.18,1911
46908,0.72,Very Good,I,SI2,63.2,62.0,5.71,5.67,3.59,1814
49356,0.71,Very Good,I,SI1,62.0,56.0,5.69,5.72,3.54,2098
6271,0.71,Very Good,D,VVS2,61.7,58.0,5.71,5.74,3.53,4014
48660,0.72,Very Good,G,SI2,63.4,57.0,5.67,5.71,3.61,2001
25584,1.71,Good,D,SI1,64.1,59.0,7.51,7.46,4.8,14426
4247,0.9,Ideal,H,SI2,62.0,57.0,6.17,6.19,3.83,3578
6974,0.76,Premium,F,IF,60.6,60.0,5.89,5.85,3.56,4150
33663,0.36,Ideal,E,VS1,61.8,55.0,4.58,4.61,2.84,835
14852,1.07,Ideal,F,SI1,62.7,56.0,6.47,6.53,4.08,5982
47402,0.7,Fair,I,SI1,62.0,67.0,5.54,5.5,3.42,1848
36480,0.43,Very Good,G,VS1,60.9,57.0,4.88,4.91,2.98,943
19136,1.6,Premium,J,VS1,62.6,59.0,7.51,7.4,4.66,7903
49752,0.56,Ideal,H,IF,61.3,55.0,5.31,5.33,3.26,2157
750,1.0,Fair,H,SI2,66.1,56.0,6.21,5.97,4.04,2856
12131,1.08,Fair,H,VVS2,55.9,63.0,6.9,6.8,3.83,5171
35274,0.32,Ideal,F,VVS1,61.9,56.0,4.41,4.44,2.74,895
18185,1.22,Very Good,F,SI1,60.5,58.0,6.91,6.97,4.2,7372
48519,0.76,Premium,H,SI2,59.0,59.0,6.05,6.02,3.56,1985
230,0.72,Very Good,F,VS2,63.0,54.0,5.69,5.73,3.6,2784
11221,1.1,Ideal,I,VS2,61.8,56.0,6.65,6.6,4.1,4962
21609,1.52,Premium,H,VS2,60.6,61.0,7.46,7.42,4.51,9704
26909,2.49,Ideal,J,SI1,63.8,54.0,8.56,8.49,5.45,16915
3423,0.7,Ideal,G,VS1,60.5,56.0,5.77,5.79,3.5,3384
2500,0.71,Ideal,E,VS1,61.4,59.0,5.71,5.75,3.52,3198
49402,0.6,Ideal,G,VS1,61.3,57.0,5.4,5.47,3.33,2105
22175,1.51,Very Good,I,VS1,61.1,61.0,7.32,7.37,4.49,10215
2635,0.71,Ideal,H,VS1,61.7,55.0,5.73,5.75,3.54,3229
33516,0.33,Premium,E,VS2,62.0,60.0,4.46,4.41,2.75,829
1322,0.79,Premium,G,VS2,62.3,58.0,5.92,5.89,3.68,2959
38225,0.4,Premium,H,VVS1,61.8,58.0,4.69,4.72,2.91,1017
8071,0.74,Good,F,VVS1,58.4,60.0,6.03,6.06,3.53,4336
33670,0.41,Good,G,SI1,64.3,54.0,4.72,4.68,3.02,836
31095,0.36,Very Good,H,VVS1,62.0,55.0,4.57,4.6,2.84,753
20149,1.5,Premium,J,VVS2,61.8,60.0,7.33,7.36,4.54,8603
40459,0.5,Ideal,H,SI1,62.0,56.0,5.08,5.11,3.16,1140
28659,0.41,Good,F,SI1,58.4,58.0,4.91,4.96,2.88,676
23662,1.71,Ideal,J,VS1,62.1,55.0,7.73,7.65,4.78,11711
27761,0.32,Ideal,H,VS2,61.3,55.0,4.44,4.4,2.71,648
39549,0.32,Ideal,G,VVS1,61.4,55.0,4.44,4.42,2.72,1080
13650,1.15,Very Good,G,SI1,62.2,59.0,6.66,6.71,4.16,5587
6224,1.0,Very Good,E,SI2,59.5,63.0,6.41,6.47,3.83,4004
25247,2.02,Very Good,I,SI2,61.1,61.0,8.08,8.11,4.95,13865
14329,1.03,Ideal,D,SI1,61.0,57.0,6.48,6.53,3.97,5804
8308,1.0,Good,H,SI1,62.7,60.0,6.24,6.3,3.93,4389
52171,0.7,Ideal,H,VS2,62.6,54.0,5.7,5.73,3.58,2475
49216,0.54,Ideal,G,VVS1,62.2,56.0,5.18,5.23,3.24,2080
35854,0.32,Ideal,E,VVS1,62.3,54.0,4.37,4.4,2.73,917
10798,1.0,Premium,H,VS2,59.7,58.0,6.57,6.52,3.91,4861
24065,2.01,Ideal,J,SI1,62.7,56.0,8.08,8.03,5.05,12209
36085,0.32,Premium,D,VVS2,61.5,60.0,4.37,4.41,2.7,926
47032,0.55,Premium,F,VS2,61.7,56.0,5.29,5.25,3.25,1819
24663,2.1,Fair,G,SI2,65.2,56.0,7.97,7.93,5.19,13007
7220,1.21,Good,J,SI2,63.7,55.0,6.75,6.81,4.32,4192
2564,0.9,Good,F,SI2,64.3,57.0,6.16,6.06,3.93,3210
17449,1.31,Ideal,I,VS2,61.7,55.0,7.1,7.0,4.35,6999
28358,0.4,Ideal,I,VS2,62.4,53.0,4.75,4.77,2.97,667
21820,1.51,Ideal,I,VS2,61.6,54.0,7.38,7.42,4.57,9891
13918,1.09,Ideal,F,SI1,62.0,56.0,6.56,6.61,4.08,5665
17935,1.0,Premium,F,VS1,62.6,58.0,6.4,6.37,4.0,7244
41569,0.55,Very Good,E,SI2,62.5,54.0,5.21,5.25,3.27,1238
53444,0.71,Premium,E,SI1,60.3,60.0,5.77,5.74,3.47,2674
5673,1.02,Good,H,SI2,63.7,58.0,6.28,6.24,3.99,3884
9960,1.07,Premium,F,SI2,62.0,58.0,6.57,6.52,4.06,4700
50166,0.54,Ideal,F,VVS2,61.4,56.0,5.27,5.29,3.24,2218
53739,0.73,Good,E,VS2,63.3,60.0,5.67,5.73,3.61,2723
35088,0.3,Ideal,F,IF,62.4,56.0,4.26,4.3,2.67,886
47751,0.54,Very Good,D,VS2,60.6,58.0,5.26,5.3,3.2,1892
28465,0.38,Very Good,F,SI1,61.7,58.0,4.66,4.73,2.89,672
36977,0.42,Premium,G,VVS2,61.6,60.0,4.8,4.85,2.97,963
8035,0.9,Premium,E,VS2,62.9,58.0,6.15,6.12,3.86,4334
17943,1.7,Premium,I,SI2,59.4,59.0,7.83,7.75,4.63,7250
37285,0.24,Very Good,E,VVS2,63.6,54.0,3.96,4.0,2.53,485
43812,0.51,Ideal,E,SI1,61.7,55.0,5.17,5.13,3.18,1443
45745,0.52,Ideal,D,VS2,62.0,53.0,5.17,5.21,3.22,1701
50324,0.65,Very Good,F,VS2,64.0,55.3,5.5,5.57,3.54,2241
33297,0.31,Ideal,D,SI2,62.1,57.0,4.32,4.34,2.69,462
26813,2.09,Ideal,I,SI1,61.4,56.0,8.23,8.27,5.06,16704
7832,1.01,Very Good,E,SI2,63.4,59.0,6.32,6.26,3.99,4299
19403,1.53,Ideal,I,SI2,61.3,59.0,7.42,7.39,4.54,8062
25144,1.57,Ideal,G,VS2,61.4,55.0,7.48,7.52,4.61,13713
31661,0.38,Ideal,G,VS2,62.1,54.5,4.64,4.69,2.9,768
