,carat,cut,color,clarity,depth,table,x,y,z,price
6074,0.91,Ideal,E,SI2,61.5,56.0,6.2,6.23,3.82,3968
29406,0.33,Ideal,G,VS1,61.9,55.0,4.44,4.49,2.77,699
3379,0.31,Premium,I,SI1,61.3,58.0,4.34,4.37,2.67,408
18556,1.01,Ideal,E,VS1,61.6,57.0,6.45,6.41,3.96,7565
33542,0.35,Ideal,E,VS1,61.2,56.0,4.53,4.55,2.78,829
32088,0.33,Ideal,D,VS2,62.6,56.0,4.39,4.43,2.76,781
37759,0.44,Premium,E,SI1,62.3,58.0,4.88,4.85,3.03,998
51486,0.7,Premium,G,VS2,63.0,57.0,5.67,5.6,3.55,2381
49244,0.51,Ideal,F,VS1,61.7,55.0,5.14,5.17,3.18,2085
13759,1.03,Ideal,E,SI1,62.0,53.0,6.47,6.5,4.02,5608
52799,0.71,Very Good,E,SI1,60.3,58.0,5.8,5.85,3.51,2570
21797,1.02,Ideal,F,VVS2,60.9,56.0,6.54,6.49,3.97,9870
53177,0.71,Premium,E,VS2,61.3,59.0,5.7,5.76,3.51,2630
37801,0.51,Ideal,I,SI1,61.7,54.0,5.18,5.19,3.2,1000
3255,0.91,Good,D,SI1,64.0,59.0,6.13,6.02,3.89,3357
39342,0.38,Ideal,E,VVS2,62.1,54.5,4.62,4.66,2.88,1073
22559,1.43,Premium,G,VS2,62.2,58.0,7.18,7.15,4.46,10609
254,0.77,Premium,H,VS1,61.3,60.0,5.9,5.88,3.61,2789
12584,1.11,Premium,G,SI1,60.1,60.0,6.73,6.68,4.03,5281
25203,1.52,Very Good,D,VS2,62.4,58.0,7.23,7.28,4.53,13799
33486,0.32,Premium,F,VS2,61.7,58.0,4.41,4.38,2.71,828
15768,1.18,Ideal,I,VS2,62.3,56.0,6.76,6.73,4.21,6304
6032,0.33,Very Good,I,VS1,59.9,62.0,4.48,4.57,2.71,575
10728,0.31,Ideal,D,SI2,62.0,56.0,4.35,4.33,2.69,593
29590,0.32,Ideal,D,SI1,62.9,56.0,4.4,4.38,2.76,706
42947,0.3,Premium,F,SI2,62.3,58.0,4.32,4.28,2.68,506
50844,0.62,Very Good,D,VS2,59.2,59.1,5.55,5.6,3.3,2311
19230,1.53,Ideal,I,VS1,62.9,57.0,7.36,7.3,4.61,7968
40336,0.51,Ideal,E,SI2,61.3,61.0,5.13,5.15,3.15,1128
17016,1.52,Ideal,H,I1,61.6,56.0,7.75,7.73,4.77,6793
16280,1.01,Ideal,G,VS2,60.1,55.0,6.53,6.58,3.94,6512
8315,1.0,Ideal,H,SI2,58.3,61.0,6.56,6.61,3.84,4390
42511,0.51,Ideal,F,SI1,61.2,56.0,5.19,5.21,3.18,1322
42716,0.54,Ideal,E,SI2,60.4,57.0,5.33,5.27,3.2,1340
8609,1.02,Good,E,SI1,63.7,62.0,6.31,6.4,4.05,4443
34325,0.39,Premium,E,SI1,59.1,59.0,4.81,4.76,2.83,860
51766,0.7,Very Good,D,SI1,61.0,59.0,5.67,5.7,3.47,2409
3516,0.71,Ideal,F,VS1,61.1,56.0,5.75,5.78,3.52,3404
27487,1.76,Ideal,G,VS1,62.8,55.0,7.74,7.7,4.85,18178
36371,0.33,Ideal,D,VS2,60.9,56.0,4.49,4.51,2.74,940
1163,1.2,Premium,I,I1,60.5,58.0,6.9,6.79,4.14,2925
27498,2.05,Ideal,E,SI1,62.4,57.0,8.17,8.09,5.08,18193
10213,1.16,Ideal,I,SI1,61.5,60.0,6.76,6.71,4.14,4742
18009,1.22,Premium,H,VS1,58.9,59.0,7.02,6.96,4.12,7283
68,0.31,Premium,G,SI1,61.8,58.0,4.35,4.32,2.68,553
52868,0.73,Ideal,E,SI1,61.9,57.0,5.74,5.79,3.57,2581
37359,0.4,Premium,G,VVS2,59.7,58.0,4.78,4.8,2.86,982
26811,2.01,Premium,I,VS2,61.7,60.0,8.09,8.02,4.97,16700
36771,0.3,Premium,E,VVS1,61.3,59.0,4.33,4.28,2.64,956
14702,0.3,Ideal,G,VS1,61.5,57.0,4.31,4.34,2.66,605
50424,0.5,Very Good,G,VVS2,60.0,56.0,5.18,5.21,3.12,2260
38164,0.34,Ideal,G,IF,61.9,54.0,4.46,4.49,2.77,1014
17636,1.29,Good,I,VS2,57.9,61.0,7.16,7.13,4.14,7102
23688,1.51,Premium,G,VS2,58.1,61.0,7.57,7.54,4.39,11746
3399,0.3,Very Good,I,VS1,61.8,63.0,4.29,4.26,2.64,567
23933,1.76,Premium,D,SI1,61.0,60.0,7.76,7.68,4.77,12063
9372,0.32,Premium,D,SI1,60.8,58.0,4.41,4.44,2.69,589
53914,0.84,Good,I,VS1,63.7,59.0,5.94,5.9,3.77,2753
37297,0.38,Ideal,F,VS1,62.5,56.0,4.6,4.62,2.88,978
26458,2.01,Good,I,VS2,63.6,57.0,7.87,7.95,5.03,16003
26425,2.01,Very Good,I,VVS2,63.5,58.0,7.92,7.82,5.0,15952
23768,1.65,Very Good,H,VS1,62.0,56.0,7.53,7.59,4.68,11823
49966,0.33,Very Good,E,SI1,59.1,59.0,4.54,4.59,2.7,540
6273,1.12,Premium,E,I1,61.0,59.0,6.74,6.7,4.1,4014
12020,1.0,Premium,F,SI1,62.5,59.0,6.39,6.34,3.98,5152
14926,1.73,Fair,H,SI2,65.9,58.0,7.52,7.45,4.93,6007
42852,0.41,Premium,D,VVS2,61.8,58.0,4.79,4.75,2.95,1356
6885,1.06,Very Good,I,SI2,62.8,56.0,6.47,6.55,4.09,4132
9387,0.32,Good,D,SI1,63.8,56.0,4.33,4.35,2.77,589
53048,0.8,Ideal,I,VS2,61.6,58.0,5.99,6.03,3.7,2606
50848,0.83,Premium,J,SI1,62.8,58.0,6.0,5.95,3.75,2311
20207,1.05,Ideal,G,VVS2,62.2,56.0,6.49,6.53,4.05,8645
7102,1.06,Ideal,I,SI2,61.3,56.0,6.59,6.55,4.03,4167
31796,0.42,Very Good,E,SI1,62.7,57.0,4.77,4.83,3.01,773
48879,0.56,Very Good,E,VS1,61.9,57.0,5.29,5.31,3.28,2037
25364,0.28,Very Good,E,VVS1,59.6,59.0,4.3,4.33,2.57,642
3355,0.8,Very Good,G,VS1,63.5,57.0,5.87,5.91,3.74,3381
16600,1.01,Very Good,D,SI1,62.1,59.0,6.37,6.41,3.97,6630
48742,0.57,Good,D,VS2,58.3,61.0,5.42,5.45,3.17,2015
21418,1.52,Premium,H,SI1,62.1,59.0,7.29,7.36,4.55,9527
11948,1.01,Very Good,E,SI1,58.2,59.0,6.54,6.59,3.82,5132
4125,0.64,Very Good,E,VVS2,61.8,59.0,5.51,5.53,3.41,3541
35343,0.42,Very Good,H,SI1,63.2,58.0,4.79,4.77,3.02,898
23081,1.41,Ideal,G,VS1,60.4,57.0,7.31,7.22,4.39,11109
41613,0.27,Very Good,H,VVS1,61.2,57.0,4.15,4.18,2.55,504
25714,2.02,Very Good,I,VS2,58.8,57.0,8.21,8.29,4.85,14620
22127,1.8,Very Good,I,SI2,63.2,58.0,7.75,7.66,4.87,10161
22031,0.34,Very Good,H,SI1,63.3,56.0,4.46,4.45,2.82,628
41803,0.5,Very Good,F,SI1,62.3,60.0,5.07,5.11,3.17,1250
6031,0.25,Very Good,E,VVS1,60.2,59.0,4.11,4.13,2.48,575
14771,1.06,Ideal,D,SI1,62.7,54.0,6.52,6.55,4.1,5946
36962,0.41,Premium,G,VS1,62.4,57.0,4.74,4.71,2.95,961
48778,0.7,Premium,H,SI1,62.2,59.0,5.7,5.65,3.53,2020
12434,1.04,Ideal,J,VVS2,61.1,58.0,6.49,6.57,3.99,5242
52769,0.73,Very Good,E,SI1,60.2,60.0,5.81,5.86,3.51,2564
7911,1.03,Very Good,G,SI2,63.0,57.0,6.4,6.42,4.04,4315
7198,1.02,Ideal,I,SI2,62.8,58.0,6.37,6.41,4.01,4189
53179,0.73,Ideal,G,SI1,61.4,58.0,5.77,5.79,3.55,2630
46171,0.5,Premium,E,VS2,61.8,58.0,5.09,5.07,3.14,1746
28174,0.35,Very Good,E,VS2,61.4,58.0,4.51,4.55,2.78,665
6769,0.91,Ideal,F,SI1,60.2,57.0,6.29,6.34,3.8,4108
27283,2.03,Very Good,G,SI2,62.7,55.0,8.07,8.14,5.08,17752
15179,1.01,Good,F,VS2,63.6,59.0,6.36,6.32,4.03,6097
28360,0.4,Ideal,I,VS2,62.4,54.0,4.73,4.76,2.96,667
32186,0.39,Ideal,H,VS2,61.6,56.0,4.68,4.71,2.89,788
44625,0.57,Ideal,G,VS2,61.6,57.0,5.32,5.36,3.29,1608
41006,0.4,Very Good,E,VVS2,59.8,60.0,4.8,4.84,2.88,1184
49280,0.6,Ideal,G,VS1,61.3,60.0,5.39,5.41,3.31,2091
52350,0.75,Very Good,F,SI1,62.1,57.0,5.82,5.88,3.63,2500
10078,0.32,Ideal,H,VS1,61.6,56.0,4.42,4.46,2.73,592
5921,1.0,Good,G,SI2,57.4,60.0,6.63,6.53,3.78,3941
40612,0.27,Good,F,VVS1,61.7,61.0,4.1,4.14,2.54,498
17519,1.21,Ideal,H,VS1,60.5,57.0,6.91,6.88,4.17,7047
28218,0.33,Ideal,G,VS1,61.6,57.0,4.41,4.45,2.73,666
9441,0.9,Ideal,H,VS1,61.6,56.0,6.17,6.13,3.79,4592
7967,1.16,Very Good,J,VS2,63.7,56.0,6.63,6.68,4.24,4323
6073,1.09,Premium,I,SI1,61.6,61.0,6.64,6.57,4.07,3968
27552,2.01,Good,H,VS1,57.6,63.0,8.23,8.25,4.75,18340
17019,1.01,Ideal,G,VS1,62.4,56.0,6.44,6.39,4.0,6794
31616,0.31,Ideal,I,SI2,62.0,54.1,4.32,4.35,2.69,372
2855,0.8,Good,E,VS2,64.5,56.0,5.8,5.86,3.76,3273
8597,0.9,Very Good,F,SI2,61.0,61.0,6.14,6.18,3.76,4441
52153,0.7,Very Good,F,VS2,62.9,57.0,5.59,5.63,3.53,2473
47532,0.59,Very Good,H,VVS1,63.7,56.0,5.35,5.38,3.42,1870
23772,1.61,Ideal,I,VS2,61.7,56.0,7.52,7.62,4.67,11826
10217,1.15,Premium,H,SI2,61.6,60.0,6.72,6.75,4.15,4743
38093,0.45,Premium,I,VVS1,63.0,56.0,4.9,4.88,3.08,1013
29828,0.42,Very Good,F,SI2,61.5,59.0,4.81,4.85,2.97,710
24706,0.41,Ideal,I,SI1,61.6,56.0,4.79,4.82,2.96,639
38931,0.4,Premium,E,VS1,60.4,59.0,4.76,4.81,2.89,1053
47987,0.25,Very Good,D,VVS1,63.8,54.0,3.94,3.99,2.53,533
50634,0.23,Very Good,F,VS2,63.4,56.0,3.84,3.89,2.45,402
11594,1.09,Premium,D,SI2,61.3,58.0,6.65,6.62,4.07,5042
39585,0.37,Premium,E,VVS2,59.7,61.0,4.71,4.67,2.8,1082
45823,0.55,Ideal,I,VVS1,62.7,57.0,5.23,5.17,3.26,1712
32949,0.25,Ideal,F,VS2,62.2,54.0,4.03,4.07,2.52,460
29791,0.3,Ideal,D,SI1,61.6,56.0,4.34,4.3,2.66,709
21407,1.02,Ideal,F,VVS2,61.1,56.3,6.48,6.52,3.97,9521
46101,0.55,Ideal,H,VVS1,60.5,57.0,5.32,5.35,3.23,1741
18099,1.37,Premium,J,VVS2,59.4,61.0,7.29,7.25,4.32,7319
29318,0.31,Ideal,H,VS1,61.7,57.0,4.38,4.34,2.69,698
32997,0.38,Very Good,H,SI1,63.3,57.0,4.62,4.58,2.91,812
16559,1.31,Ideal,I,VS1,62.1,56.0,7.01,7.04,4.36,6617
22928,1.02,Very Good,F,IF,62.5,58.0,6.39,6.54,4.04,10967
38408,0.35,Ideal,G,VVS2,62.1,56.0,4.51,4.47,2.79,1024
8554,1.01,Very Good,E,SI2,63.3,58.0,6.39,6.37,4.04,4434
6159,1.0,Very Good,J,SI2,62.8,54.0,6.35,6.43,4.01,3991
12990,1.02,Ideal,G,SI1,61.5,57.0,6.54,6.44,3.99,5398
17706,0.3,Very Good,F,VVS2,64.1,55.0,4.2,4.25,2.71,613
31876,0.3,Very Good,H,VVS2,63.5,55.0,4.28,4.25,2.71,776
26828,2.01,Very Good,F,SI2,60.3,60.0,8.08,8.11,4.88,16728
47788,0.52,Ideal,E,VS2,60.5,56.0,5.27,5.21,3.17,1897
28778,0.39,Good,F,VS2,64.3,55.0,4.56,4.64,2.96,681
2077,0.75,Premium,E,VS2,59.9,61.0,5.97,5.91,3.56,3108
12873,1.03,Premium,H,VS2,60.9,58.0,6.55,6.48,3.97,5364
11356,0.99,Very Good,D,SI2,62.5,57.0,6.3,6.34,3.95,4993
5948,0.97,Premium,I,VS2,62.2,56.0,6.34,6.29,3.94,3948
19937,1.2,Ideal,F,VS2,62.3,55.0,6.83,6.79,4.24,8486
44637,0.41,Ideal,E,VVS1,61.1,56.0,4.8,4.82,2.94,1608
9994,1.0,Very Good,D,SI2,63.3,56.0,6.38,6.35,4.03,4704
13027,0.26,Premium,H,VVS2,62.4,58.0,4.07,4.04,2.53,600
7263,1.03,Ideal,E,SI2,61.6,56.0,6.5,6.45,3.99,4199
29718,0.31,Ideal,G,VVS2,62.7,57.0,4.31,4.33,2.71,707
5202,1.04,Very Good,D,SI2,63.1,58.0,6.39,6.33,4.01,3780
45599,0.58,Ideal,G,SI1,61.5,56.0,5.35,5.38,3.3,1690
32408,0.41,Ideal,D,SI1,62.7,56.0,4.73,4.78,2.98,791
47063,0.52,Ideal,D,VS2,61.8,55.0,5.16,5.19,3.2,1822
27723,2.01,Ideal,G,SI1,62.2,56.0,8.02,7.97,4.97,18741
46163,0.5,Ideal,E,VS2,61.4,57.0,5.11,5.08,3.13,1746
46419,0.5,Ideal,E,VS2,60.8,55.0,5.19,5.16,3.15,1768
21378,0.34,Very Good,D,SI1,59.6,61.0,4.5,4.53,2.69,626
40300,0.4,Premium,G,VS1,60.7,58.0,4.81,4.78,2.91,1125
7875,0.9,Good,F,VS2,63.8,55.0,6.09,6.13,3.9,4309
30626,0.28,Ideal,I,VS1,62.4,54.0,4.18,4.19,2.61,448
20222,1.43,Very Good,H,SI1,61.7,59.0,7.23,7.29,4.48,8654
18597,1.09,Premium,F,VS1,61.3,60.0,6.67,6.61,4.07,7588
16867,1.07,Premium,G,VS1,58.6,60.0,6.76,6.65,3.93,6730
19454,1.05,Ideal,F,VS1,62.3,55.0,6.53,6.5,4.06,8100
23591,1.51,Premium,F,SI1,62.2,59.0,7.34,7.3,4.55,11607
33003,0.32,Ideal,E,VVS1,60.9,56.0,4.41,4.43,2.69,813
32522,0.35,Very Good,G,VVS2,62.4,56.0,4.47,4.53,2.81,798
29827,0.38,Very Good,H,VS2,61.6,56.0,4.68,4.71,2.89,710
30827,0.33,Premium,I,VVS2,62.2,59.0,4.47,4.41,2.76,743
35686,0.3,Premium,D,VS2,62.6,61.0,4.25,4.22,2.65,911
28312,0.3,Good,H,SI1,63.1,56.0,4.27,4.29,2.7,432
18858,1.53,Very Good,J,SI1,61.7,58.0,7.43,7.47,4.6,7730
24448,1.51,Good,D,VS2,59.8,65.0,7.36,7.43,4.42,12709
14190,1.02,Very Good,G,VS2,63.5,56.0,6.43,6.38,4.07,5758
26437,2.02,Ideal,H,SI2,63.0,57.0,8.01,8.06,5.06,15974
13088,1.29,Premium,H,SI2,61.0,57.0,7.13,6.95,4.31,5418
52111,0.91,Good,F,SI2,56.9,62.0,6.51,6.45,3.69,2461
30365,0.36,Very Good,I,VS1,63.3,56.0,4.56,4.51,2.87,729
30492,0.31,Premium,D,SI1,61.4,58.0,4.39,4.34,2.68,732
2110,0.85,Ideal,G,SI1,60.4,56.0,6.26,6.17,3.75,3118
25910,2.22,Very Good,I,SI2,62.9,59.0,8.2,8.24,5.17,15047
36572,0.7,Fair,F,I1,63.9,59.0,5.64,5.5,3.57,945
25543,1.5,Premium,F,VS2,60.8,58.0,7.44,7.29,4.48,14372
5448,0.9,Premium,E,SI2,61.7,58.0,6.18,6.11,3.79,3830
18203,1.32,Very Good,H,SI1,62.3,58.0,6.96,7.0,4.35,7389
51170,0.5,Ideal,E,VVS2,62.4,54.0,5.11,5.09,3.18,2346
49332,0.7,Very Good,H,SI2,63.4,55.0,5.59,5.64,3.56,2094
17134,1.26,Ideal,H,SI1,61.0,56.0,7.04,7.0,4.28,6837
23669,1.24,Very Good,F,VVS1,62.7,61.0,6.75,6.84,4.26,11716
35107,0.3,Ideal,F,IF,62.6,57.0,4.25,4.28,2.67,886
10473,1.01,Fair,F,VS2,66.1,61.0,6.1,6.04,4.01,4791
273,0.76,Ideal,I,VS2,61.3,56.0,5.87,5.91,3.61,2793
4604,0.73,Ideal,E,VS1,60.9,55.8,5.8,5.85,3.55,3660
29450,0.33,Ideal,E,SI1,61.6,55.0,4.47,4.49,2.76,702
28084,0.3,Premium,D,SI1,62.1,59.0,4.31,4.29,2.67,662
36034,0.41,Premium,G,SI1,61.3,58.0,4.8,4.76,2.93,923
3151,0.98,Fair,G,SI2,66.6,56.0,6.12,6.02,4.04,3332
15856,1.37,Ideal,I,VS2,61.5,56.0,7.14,7.11,4.38,6343
47262,0.7,Good,J,VS2,63.2,61.0,5.59,5.62,3.54,1843
13889,1.01,Very Good,D,SI1,63.2,58.0,6.28,6.34,3.99,5654
18424,1.0,Good,G,VVS2,60.9,56.0,6.49,6.52,3.96,7492
27039,0.32,Very Good,G,VS1,61.7,55.0,4.37,4.41,2.71,645
4831,0.71,Ideal,F,VVS2,61.2,55.0,5.73,5.84,3.54,3705
30028,0.43,Good,E,SI1,63.4,56.0,4.77,4.79,3.03,718
28128,0.29,Very Good,F,VVS2,62.7,58.0,4.22,4.26,2.66,664
31331,0.37,Ideal,F,VS2,61.7,55.0,4.61,4.73,2.88,759
8879,1.08,Premium,G,SI1,61.2,59.0,6.61,6.66,4.06,4485
38532,0.38,Premium,H,VVS1,61.2,60.0,4.7,4.68,2.87,1033
22172,1.52,Very Good,E,SI2,63.3,58.0,7.31,7.25,4.61,10214
22786,1.7,Very Good,J,VVS1,62.9,60.0,7.56,7.61,4.77,10808
35872,0.41,Premium,E,VVS2,61.5,58.0,4.75,4.78,2.93,918
49471,0.64,Very Good,E,VS2,63.4,54.0,5.52,5.49,3.49,2114
48197,0.46,Premium,D,VVS1,60.0,59.0,5.04,5.0,3.01,1947
19698,0.36,Premium,I,SI1,60.4,60.0,4.62,4.58,2.78,624
2039,0.7,Good,D,VS1,60.4,63.0,5.73,5.76,3.47,3107
51851,0.7,Very Good,F,SI1,63.2,57.0,5.68,5.62,3.57,2423
27359,1.51,Premium,D,VS1,63.0,52.0,7.37,7.3,4.62,17936
6382,0.25,Premium,E,VVS2,62.0,59.0,4.05,4.08,2.52,576
295,0.74,Ideal,H,VS1,61.6,56.0,5.81,5.82,3.58,2797
12666,0.91,Very Good,F,VS1,62.4,59.0,6.15,6.16,3.84,5302
43593,0.31,Ideal,H,VS2,61.2,56.0,4.35,4.37,2.67,507
24705,0.32,Ideal,F,VS1,61.5,56.0,4.4,4.44,2.72,639
29755,0.3,Premium,D,SI1,63.0,58.0,4.27,4.24,2.68,709
47436,0.55,Ideal,G,VS2,60.4,56.0,5.38,5.31,3.23,1854
48205,0.7,Premium,H,SI1,61.1,58.0,5.74,5.79,3.52,1948
32282,0.26,Very Good,E,VS1,63.0,59.0,4.03,4.06,2.55,453
52851,0.67,Ideal,G,VVS1,62.4,55.0,5.6,5.62,3.5,2577
4099,0.7,Ideal,D,VS1,62.2,56.0,5.69,5.72,3.55,3535
25134,2.01,Very Good,I,SI1,61.8,62.0,7.98,8.07,4.96,13691
32548,0.27,Ideal,D,VVS2,62.3,57.0,4.15,4.13,2.58,799
41598,0.31,Ideal,G,SI2,62.0,55.0,4.34,4.37,2.7,391
2054,0.32,Very Good,E,SI1,62.8,57.0,4.34,4.39,2.74,561
22829,1.1,Ideal,F,VVS1,62.7,57.0,6.57,6.63,4.14,10861
22716,1.33,Ideal,G,VS1,59.9,57.3,7.16,7.21,4.3,10732
39568,0.44,Very Good,G,VVS2,60.9,57.0,4.89,4.93,2.99,1081
